id,destination_id,titre,description,prix,prix_public,duree,langues,inclusions,categorie,profil_cible,horaires,conditions_annulation
54343,3114,Visite d'une demi-journée à Athènes avec le musée de l'Acropole,,124.70,145,5 heures,Français|Anglais,,,general,,
48712,3114,Acropole et Parthénon : billet d'entrée avec Guide numérique,,60,60,,,,,general,,
40384,3114,"Poros, Hydra et Aegina : croisière au départ d'Athènes",,123.84,144,10 heures,,,,couple,,
52640,3114,Musée archéologique national  : Billet d'entrée coupe-file,,34.40,40,2 heures,Audio|Français|Anglais,,,general,,
52794,3114,Pass hop-on Hop-off  48 heures  : tour Athènes,,22.36,26,Bon à savoir,Audio|Français|Anglais,,,general,,
69946,3114,Le Meilleur d'Athènes & de l' Acropole: une Visite Mythologique,,42.14,49,4 heures,Français|Anglais,,,general,,
49289,3114,"Athènes : visite privée de l'Acropole, nouveau musée de l'Acropole",,205.54,239,3 heures à 5 heures,Anglais,,,solo,,
53145,3114,Demi-journée à Athènes Tour privé sur mesure,,326.80,380,4 heures 30 minutes,Français|Anglais,,,solo,,
45449,3114,Les incontournables d'Athènes : visite en bus Hop-on Hop-off,,14.62,21,,Audio|Français|Anglais,,,general,,
40333,3114,Delphes : visite guidée au départ d'Athènes avec repas,,110.08,128,10 heures,,,,general,,
73125,3114,Visite guidée d’une journée à Météores en bus,,85.14,103,15 heures,,,,general,,
72610,3114,Athènes : Billet d'entrée à l'Acropole + 5 Sites archéologiques,,0,0,,,,,general,,
52796,3114,"Pass hop-on Hop-off 24 heures : Athènes, le Pirée et la Plage-Riviera",,32.68,38,Conditions d'annulation,Audio|Français|Anglais,,,general,,
71385,3114,Athènes : tour en bus à arrêts multiples et visite du Cap Sounion au coucher du soleil,,30.96,42,,Anglais|Audio,,,general,,
49760,3114,Athènes : tour pédestre privé dans la ville,,147.06,171,4 heures,Français|Anglais,,,solo,,
74072,3114,Musée de l'Acropole : billet coupe-file avec audioguide,,26.66,33,,,,,general,,
69939,3114,Billet coupe-file : balade l'après-midi à l'Acropole d'Athènes,,31.82,37,2 heures,Français|Anglais,,,general,,
56995,3114,Athènes pour les gourmets: plus qu'une visite gastronomique grecque,,83.42,97,4 heures,Anglais,,,general,,
