id,nom,pays,region,description,saison_ideale
3114,Athènes,,,Activités touristiques à Athènes,
3471,Bali,,,Activités touristiques à Bali,
1219,Barcelone,,,Activités touristiques à Barcelone,
3416,Budapest,,,Activités touristiques à Budapest,
202467,Chutes d'Iguaçu,,,Activités touristiques à Chutes d'Iguaçu,
261,Dubaï,,,Activités touristiques à Dubaï,
4172,Duomo de Milan,,,Activités touristiques à Duomo de Milan,
4860,Désert d'Agafay,,,Activités touristiques à Désert d'Agafay,
202816,Grand Musée égyptien,,,Activités touristiques à Grand Musée égyptien,
651,Ile de Pâques (13),,,Activités touristiques à Ile de Pâques (13),
9693,Istanbul,,,Activités touristiques à Istanbul,
1138,Le Caire,,,Activités touristiques à Le Caire,
5681,Lisbonne,,,Activités touristiques à Lisbonne,
185168,Malte,,,Activités touristiques à Malte,
7777,Miami,,,Activités touristiques à Miami,
203137,Monastère de Pétra,,,Activités touristiques à Monastère de Pétra,
4717,Mont Fuji,,,Activités touristiques à Mont Fuji,
560,Montréal,,,Activités touristiques à Montréal,
5572,Musée national Auschwitz-Birkenau,,,Activités touristiques à Musée national Auschwitz-Birkenau,
5113,Musée Van Gogh,,,Activités touristiques à Musée Van Gogh,
8067,New York,,,Activités touristiques à New York,
8842,Palais Alcazar de Séville,,,Activités touristiques à Palais Alcazar de Séville,
1366,Palais nasrides de l'Alhambra,,,Activités touristiques à Palais nasrides de l'Alhambra,
7502,Parc National Grand Canyon,,,Activités touristiques à Parc National Grand Canyon,
203298,Parc national Kruger,,,Activités touristiques à Parc national Kruger,
2222,Paris,,,Activités touristiques à Paris,
8262,Pekin,,,Activités touristiques à Pekin,
660,Puerto Natales (37),,,Activités touristiques à Puerto Natales (37),
661,Punta Arenas (8),,,Activités touristiques à Punta Arenas (8),
395,Rio de Janeiro,,,Activités touristiques à Rio de Janeiro,
4362,Rome,,,Activités touristiques à Rome,
4213,Ruines de Pompéi,,,Activités touristiques à Ruines de Pompéi,
669,San Pedro De Atacama (9),,,Activités touristiques à San Pedro De Atacama (9),
667,Santiago (4),,,Activités touristiques à Santiago (4),
3227,Santorin,,,Activités touristiques à Santorin,
2797,Studios Warner Bros,,,Activités touristiques à Studios Warner Bros,
201717,Tulum,,,Activités touristiques à Tulum,
202185,Valparaiso (17),,,Activités touristiques à Valparaiso (17),
4497,Venise,,,Activités touristiques à Venise,
9632,Vienne,,,Activités touristiques à Vienne,
9538,Zanzibar,,,Activités touristiques à Zanzibar,
