id,nom_agence,email,logo_url,contact,ville,pays,partner_currency,offres_count,nom_complet
1,"TUI España Turismo, S.L.U",,,Tax: B08089187 | License: GCMD-4,,Spain,EUR,19711,"TUI España Turismo, S.L.U, with Tax Number B08089187 and Travel License Number GCMD-4"
2,"TUI Hellas Travel, Tourism and Airlines SA",,,Tax: 094469778 | License: 0261Ε60000126100,,Greece,EUR,9563,"TUI Hellas Travel, Tourism and Airlines SA, with Tax Number 094469778 and Travel License Number 0261Ε60000126100"
3,TUI MEXICANA SA DE CV,,,,,Mexico,EUR,7796,TUI MEXICANA SA DE CV
4,TUI DESTINATION EXPERIENCES (THAILAND) LTD.,,,,,Thailand,EUR,7679,TUI DESTINATION EXPERIENCES (THAILAND) LTD.
5,TANTUR  TURIZM SEYAHAT A.S,,,,,Turkey,EUR,5001,TANTUR  TURIZM SEYAHAT A.S
6,TUI PORTUGAL,,,,,Portugal,EUR,4125,TUI PORTUGAL
7,"TUI DOMINICANA, S.A.S",,,,,Dominican Republic,EUR,3442,"TUI DOMINICANA, S.A.S"
8,TUI CYPRUS LTD,,,,,Cyprus,EUR,2653,TUI CYPRUS LTD
9,PT PACIFIC WORLD NUSANTARA,,,,,Indonesia,EUR,2516,PT PACIFIC WORLD NUSANTARA
10,TUI ITALIA S.R.L.,,,,,Italy,EUR,2192,TUI ITALIA S.R.L.
11,TUI DESTINATION EXPERIENCES COSTA RICA S.A.,,,,,Costa Rica,EUR,2036,TUI DESTINATION EXPERIENCES COSTA RICA S.A.
12,MUSEMENT SPA / tui-musement-spa,,,,,Albania,EUR,1904,MUSEMENT SPA / tui-musement-spa
13,TUI CAPE VERDE,,,,,Cape Verde,EUR,1874,TUI CAPE VERDE
14,TUI JAMAICA LTD,,,,,Jamaica,EUR,1143,TUI JAMAICA LTD
15,Tui-Provider Tui-Bulgaria-Eood,tui-provider+tui-bulgaria-eood@musement.com,,,,Bulgaria,EUR,1126,tui-provider+tui-bulgaria-eood@musement.com
16,TUI MALTA LTD,,,,,Malta,EUR,1094,TUI MALTA LTD
17,TUI DESTINATION SERVICES MOROCCO,,,,,Morocco,EUR,840,TUI DESTINATION SERVICES MOROCCO
18,TUI TUNISIA,,,,,Tunisia,EUR,776,TUI TUNISIA
19,GULLIVER TRAVEL,,,,,Croatia,EUR,726,GULLIVER TRAVEL
20,"CEL OBERT, S.L.",,,,,Andorra,EUR,717,"CEL OBERT, S.L."
21,LocalBini AG,,,,,Austria,CHF,382,LocalBini AG
22,Hoi An Express Vietnam,,,,,Vietnam,USD,304,Hoi An Express Vietnam
23,ACTION TOUR GUIDE,,,,,Aruba,USD,272,ACTION TOUR GUIDE
24,Escape Tours,,,,,Australia,EUR,249,Escape Tours
25,Travco Group for Tourism,,,,,Egypt,EUR,241,Travco Group for Tourism
26,WeGoTrip,,,,,Austria,EUR,223,WeGoTrip
27,Questo,,,,,Argentina,EUR,203,Questo
28,Qula Trails,,,,,Austria,EUR,160,Qula Trails
29,City Sightseeing,,,,,Canada,GBP,143,City Sightseeing
30,MEGA TRAVEL & PASS,,,,,Austria,EUR,129,MEGA TRAVEL & PASS
31,Travco UAE,,,,,United Arab Emirates,AED,128,Travco UAE
32,Empeeria,,,,,Italy,EUR,123,Empeeria
33,Japanticket Inc.,,,,,Japan,JPY,122,Japanticket Inc.
34,Discover Thailand,,,,,Thailand,THB,115,Discover Thailand
35,Trip Store Krabi,,,,,Thailand,THB,113,Trip Store Krabi
36,Escursì - experience sardinia,,,,,Italy,EUR,107,Escursì - experience sardinia
37,Top Sights Tours LLC,,,,,United Kingdom,GBP,106,Top Sights Tours LLC
38,SightseeingExperience - CitySightseeing Italy,,,,,Italy,EUR,97,SightseeingExperience - CitySightseeing Italy
39,Ticketstation srl,,,,,Italy,EUR,96,Ticketstation srl
40,City Wonders,,,,,France,USD,90,City Wonders
41,Promanse,,,,,Croatia,EUR,90,Promanse
42,do eat better experience,,,,,Austria,EUR,85,do eat better experience
43,Secret City Trails,,,,,Austria,EUR,84,Secret City Trails
44,Gray Line Brazil,,,,,Brazil,USD,83,Gray Line Brazil
45,Lima Tours,,,,,Peru,USD,82,Lima Tours
46,Discover Beijing Tours,,,,,China,USD,81,Discover Beijing Tours
47,SANNA TOUR JOINT STOCK COMPANY,,,,,Vietnam,USD,81,SANNA TOUR JOINT STOCK COMPANY
48,Musement S.p.A. / MusementProduct,,,,,France,EUR,80,Musement S.p.A. / MusementProduct
49,Stasher Luggage Storage,,,,,Australia,EUR,80,Stasher Luggage Storage
50,Amigo Tours,,,,,France,USD,79,Amigo Tours
51,GoBookingTours,,,,,Indonesia,EUR,79,GoBookingTours
52,DIANA TRAVEL,,,,,Turkey,GBP,75,DIANA TRAVEL
53,Eatwith,,,,,Argentina,EUR,74,Eatwith
54,Sports Where I Am,,,,,Canada,AUD,74,Sports Where I Am
55,GGS - GLOBAL GUIDE SERVICES GMBH,,,,,Austria,EUR,73,GGS - GLOBAL GUIDE SERVICES GMBH
56,Vox City International Ltd,,,,,Armenia,EUR,71,Vox City International Ltd
57,Bologna Tour Best italy tour,,,,,Italy,EUR,67,Bologna Tour Best italy tour
58,PRIVATE TOURS,,,,,Argentina,EUR,67,PRIVATE TOURS
59,myTour in Italy,,,,,Albania,EUR,66,myTour in Italy
60,"Fun in Prague, s.r.o.",,,,,Czech Republic,EUR,65,"Fun in Prague, s.r.o."
61,VoiceMap Audio Tours,,,,,Canada,USD,65,VoiceMap Audio Tours
62,ParisCityvision,,,,,France,EUR,64,ParisCityvision
63,Arrigo Group,,,,,Malta,EUR,63,Arrigo Group
64,"Gypsy Guide, LLC",,,,,Canada,USD,61,"Gypsy Guide, LLC"
65,Julia Travel,,,,,Spain,EUR,61,Julia Travel
66,Globaltix Pte Ltd,,,,,Japan,MYR,60,Globaltix Pte Ltd
67,OceanAir Travels,,,,,Qatar,USD,60,OceanAir Travels
68,Gray Line Emirates,,,,,Oman,USD,59,Gray Line Emirates
69,Naturanda Turismo Ambiental S.L.,,,,,Spain,EUR,59,Naturanda Turismo Ambiental S.L.
70,Clio Muse Tours,,,,,Greece,EUR,57,Clio Muse Tours
71,ATTRACTIONS4US LLC,,,,,United States of America,USD,56,ATTRACTIONS4US LLC
72,Universal Orlando Resort,,,,,United States of America,USD,56,Universal Orlando Resort
73,Cesarine,,,,,Italy,EUR,53,Cesarine
74,Travco Jordan,,,,,Jordan,USD,53,Travco Jordan
75,Urban Adventures,,,,,Australia,USD,53,Urban Adventures
76,Venezia Unica,,,,,Italy,EUR,53,Venezia Unica
77,MagicalTrip Inc.,,,,,Japan,USD,52,MagicalTrip Inc.
78,See Sight Tours,,,,,Canada,CAD,52,See Sight Tours
79,BABYLON TOUR INC,,,,,United States of America,USD,51,BABYLON TOUR INC
80,Boardingpass Morocco,,,,,Morocco,EUR,48,Boardingpass Morocco
81,Gray Line Miami  - Miami Incoming Services LLC,,,,,United States of America,EUR,48,Gray Line Miami  - Miami Incoming Services LLC
82,KrisnaBaliTrekkingTour,,,,,Indonesia,IDR,48,KrisnaBaliTrekkingTour
83,Local Experts Tours,,,,,Spain,EUR,48,Local Experts Tours
84,TOWNS OF ITALY,,,,,Italy,EUR,48,TOWNS OF ITALY
85,AmallayTours,,,,,Morocco,EUR,46,AmallayTours
86,Go City,,,,,Australia,GBP,46,Go City
87,Manahe,,,,,Mauritius,EUR,46,Manahe
88,WALKS,,,,,Canada,GBP,46,WALKS
89,Cityrama Viagens E Turismo S.A,,,,,Portugal,EUR,45,Cityrama Viagens E Turismo S.A
90,Historic Tours of America,,,,,United States of America,USD,44,Historic Tours of America
91,Rabbie's Small Group Tours,,,,,United Kingdom,GBP,44,Rabbie's Small Group Tours
92,Amallay services,,,,,Morocco,EUR,43,Amallay services
93,City Berry Tourism,,,,,Turkey,EUR,42,City Berry Tourism
94,Tourism Group International,,,,,Denmark,EUR,42,Tourism Group International
95,TravelMate,,,,,Austria,EUR,42,TravelMate
